factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
data_size,13482.627330113071,f1_region_2,λ=2,divtree_lambda2_region2,236,0.34696533223584136,0.32133921184400355,0.5432770319290489,0.0,1.0,0.35299894724784936,False
data_size,13482.627330113071,f1_region_2,λ=4,divtree_lambda4_region2,236,0.35277129183917905,0.32125649991290883,0.5130723894188756,0.0,1.0,0.35253465799871603,False
rareness,0.0222590323398234,fnr_region_2,TwoStep (tuned),twostep_tuned,222,0.8284509037569091,0.32100616923582737,0.1491924082844419,0.0,1.0,0.3328522872156383,False
rareness,0.0222590323398234,recall_region_2,TwoStep (tuned),twostep_tuned,222,0.1715490962430909,0.32100616923582737,0.14919240828444194,0.0,1.0,0.33285228721563836,False
intensity,0.6692077956169817,f1_region_2,TwoStep (recall),twostep_recall,209,0.4314530428554277,0.320964546397401,0.48295562931747926,0.0,1.0,0.33572519776697707,False
noise,0.5384344159537604,f1_region_2,TwoStep (recall),twostep_recall,220,0.40961896543506177,0.3208162863456382,0.5427609772877229,0.0,1.0,0.33541338825174577,False
data_size,29478.2599815721,f1_region_2,TwoStep (tuned),twostep_tuned,239,0.40282504932980395,0.32050287141399975,0.5513821738457472,0.0,1.0,0.34179640817242274,False
data_size,253368.11425203207,f1_region_2,TwoStep (recall),twostep_recall,216,0.43441851899749534,0.32029376137576426,0.4974808344200506,0.0,1.0,0.3333058759733296,False
data_size,208362.77391753628,f1_region_2,TwoStep (tuned),twostep_tuned,212,0.4159562021039284,0.3200904769268685,0.5372149925197959,0.0,1.0,0.34179640817242274,False
noise,0.024069432106053914,f1_region_2,TwoStep (recall),twostep_recall,221,0.42866785828109394,0.31992504020507306,0.5295289963492729,0.0,1.0,0.33541338825174577,False
noise,0.01704130491500777,f1_region_2,TwoStep (recall),twostep_recall,224,0.42166942272966096,0.31988847351525196,0.49782421861075565,0.0,1.0,0.33541338825174577,False
intensity,0.21169951438065343,f1_region_2,TwoStep (recall),twostep_recall,251,0.36387143822845874,0.3196611056924298,0.5350758357331931,0.0,1.0,0.33572519776697707,False
intensity,0.9451774034505906,f1_region_2,TwoStep (tuned),twostep_tuned,200,0.44880631893400197,0.3192923198199997,0.4869094180120577,0.0,1.0,0.3442966324839895,False
intensity,0.13359290997532036,f1_region_2,λ=4,divtree_lambda4_region2,226,0.3480605086440296,0.3192709926381261,0.5053908648573257,0.0,1.0,0.3509695534361159,False
intensity,0.1681712049266273,f1_region_2,TwoStep (tuned),twostep_tuned,211,0.4004700996981743,0.31904915005947143,0.5249564989056356,0.0,1.0,0.3442966324839895,False
data_size,13482.627330113071,f1_region_2,λ=8,divtree_lambda8_region2,236,0.3620787531980974,0.3189624386504413,0.5127599313889962,0.0,1.0,0.3488068880111833,False
data_size,16394.80890739932,f1_region_2,λ=8,divtree_lambda8_region2,231,0.37842971022729444,0.31848567749362966,0.5020640861556762,0.0,1.0,0.3488068880111833,False
intensity,0.8424210637824314,f1_region_2,TwoStep (recall),twostep_recall,220,0.4045319837445645,0.3183860472737274,0.5442462505508174,0.0,1.0,0.33572519776697707,False
rareness,0.0222590323398234,f1_region_2,TwoStep (tuned),twostep_tuned,222,0.1783944736457047,0.3183230995210018,0.13703731853766055,0.0,1.0,0.33485917844274565,False
noise,4.274750681290067,f1_region_2,λ=4,divtree_lambda4_region2,224,0.3583576816898909,0.31807535912979823,0.4846164320824098,0.0,1.0,0.34964159360563196,False
