factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
rareness,0.05668836221519578,f1_region_2,λ=8,divtree_lambda8_region2,243,0.17391158546248828,0.32344826238508284,0.10352085725220053,0.0,1.0,0.3773597443848267,False
dispersion,0.06890472051252551,precision_region_2,λ=8,divtree_lambda8_region2,325,0.5608198336293381,0.32319023200452623,0.628928283642224,0.06993006993006992,1.0,0.34277236287307356,False
noise,8.146810152884804,f1_region_2,λ=8,divtree_lambda8_region2,494,0.2958412562352336,0.32307583501020803,0.5424825080456364,0.0,0.934158134087812,0.3929945993469245,False
sparsity,3.0,f1_region_2,TwoStep (tuned),twostep_tuned,1708,0.30712004025846856,0.32295691015947203,0.6170656200386899,0.0,0.8714385640812969,0.4064245174016671,False
sparsity,6.0,f1_region_2,TwoStep (recall),twostep_recall,1633,0.2519671284852628,0.3228870188058493,0.5696643760581616,0.0,0.853006076990603,0.4037780391783897,False
dispersion,0.03519200285202227,precision_region_2,λ=4,divtree_lambda4_region2,88,0.5934513162394653,0.322789122577058,0.589549528092616,0.03854166666666668,1.0,0.33917236320782856,False
noise,0.08152374553859773,precision_region_2,λ=8,divtree_lambda8_region2,425,0.5950554414027226,0.3227000381456553,0.6453716040860664,0.06945812807881774,1.0,0.3258113248335312,False
dispersion,0.330466384177277,precision_region_2,λ=4,divtree_lambda4_region2,823,0.5587543413101916,0.3226854786623591,0.5975830375681351,0.07041335710812126,1.0,0.33917236320782856,False
dispersion,0.330466384177277,precision_region_2,λ=8,divtree_lambda8_region2,848,0.5510059223360962,0.3223586754435298,0.6083606061196665,0.06795644891122278,1.0,0.34277236287307356,False
sparsity,3.0,f1_region_2,λ=0,divtree_lambda0,1708,0.25627168567163416,0.32230770605354847,0.5850688065112901,0.0,0.8611180579181515,0.32696038285494566,False
rareness,0.26752573998233714,precision_region_2,λ=0,divtree_lambda0,631,0.5886427150404239,0.3222072900635506,0.7118921539856455,0.21992558908639934,1.0,0.4347942564941138,False
noise,0.00815515817940046,precision_region_2,λ=4,divtree_lambda4_region2,455,0.5817275490977041,0.3216052055535165,0.6290911813177549,0.085,1.0,0.32221309642920903,False
rareness,0.05668836221519578,fnr_region_2,λ=0,divtree_lambda0,243,0.8544266756556956,0.32124695844147866,0.07368896925858948,0.0,1.0,0.4269225696109904,False
rareness,0.05668836221519578,recall_region_2,λ=0,divtree_lambda0,243,0.14557332434430437,0.32124695844147866,0.0736889692585895,0.0,1.0,0.42692256961099034,False
sparsity,3.0,f1_region_2,TwoStep (recall),twostep_recall,1708,0.30645928865917943,0.3211930727853829,0.6132953323255983,0.0,0.8677564796640712,0.4037780391783897,False
dispersion,0.028130383551941408,precision_region_2,λ=2,divtree_lambda2_region2,60,0.7068851502490688,0.3211620060516774,0.5756125226860254,0.14987909957972712,1.0,0.32230125594218284,False
sparsity,6.0,f1_region_2,TwoStep (tuned),twostep_tuned,1633,0.24416204855601206,0.3211564881228739,0.5472052401746725,0.0,0.853006076990603,0.4064245174016671,False
noise,0.12919760763693183,precision_region_2,λ=8,divtree_lambda8_region2,427,0.5613236477600322,0.32112533200287974,0.6068383398867063,0.08629964806435395,1.0,0.3258113248335312,False
dispersion,0.330466384177277,precision_region_2,λ=2,divtree_lambda2_region2,782,0.5766402320159547,0.3209403314030991,0.6065002470350209,0.05947580645161292,1.0,0.32230125594218284,False
dispersion,0.13491305194743766,precision_region_2,λ=8,divtree_lambda8_region2,649,0.5481419099459042,0.32048373371434996,0.596143717568802,0.07082494969818913,1.0,0.34277236287307356,False
noise,0.12919760763693183,precision_region_2,λ=4,divtree_lambda4_region2,414,0.573635116079574,0.32036489889729797,0.5929859176057922,0.07274011299435029,1.0,0.32221309642920903,False
sparsity,6.0,f1_region_2,λ=0,divtree_lambda0,1633,0.2381116421606334,0.32018393398264683,0.5683589731867328,0.0,0.8489326277094467,0.32696038285494566,False
rareness,0.05668836221519578,fnr_region_2,λ=8,divtree_lambda8_region2,243,0.8329568567036124,0.31978929638808085,0.13075854803179765,0.0,1.0,0.41673009671363453,False
rareness,0.05668836221519578,recall_region_2,λ=8,divtree_lambda8_region2,243,0.1670431432963877,0.31978929638808085,0.1307585480317977,0.0,1.0,0.41673009671363453,False
noise,0.002048902761431835,precision_region_2,λ=8,divtree_lambda8_region2,443,0.5539368000013056,0.31970659460332657,0.5781981113539224,0.060250000000000005,1.0,0.3258113248335312,False
rareness,0.05668836221519578,fnr_region_2,λ=4,divtree_lambda4_region2,243,0.8338744047269401,0.3195345930993527,0.11611519607843146,0.0,1.0,0.4158661160922854,False
rareness,0.05668836221519578,recall_region_2,λ=4,divtree_lambda4_region2,243,0.16612559527305995,0.3195345930993527,0.11611519607843138,0.0,1.0,0.4158661160922854,False
