method,prefix,metric,n,bad_direction,bad_threshold,bad_rate,q01,q05,q10,q50,q90,q95,q99,mean,std
DivTree λ=2,divtree_lambda2_region2,f1_region_2,10000,low,0.55,0.5971,0.0,0.0,0.0,0.2519367616643881,1.0,1.0,1.0,0.40341219817613194,0.3880930161916512
DivTree λ=4,divtree_lambda4_region2,f1_region_2,10000,low,0.55,0.5963,0.0,0.0,0.0,0.2594933410236721,1.0,1.0,1.0,0.40882453385709666,0.3844841634158615
DivTree λ=6,divtree_lambda6_region2,f1_region_2,10000,low,0.55,0.5968,0.0,0.0,0.0,0.2566611822867525,1.0,1.0,1.0,0.4106784577761675,0.38367253247256716
DivTree λ=8,divtree_lambda8_region2,f1_region_2,10000,low,0.55,0.5959,0.0,0.0,0.0,0.26021535712606386,1.0,1.0,1.0,0.4117129030637172,0.3833190978617956
TwoStep (recall),twostep_recall,f1_region_2,10000,low,0.55,0.6557,0.0,0.0,0.0,0.10961180441983619,0.882948602876018,0.9685253420992275,1.0,0.32868237744141143,0.3667589973525438
TwoStep (tuned),twostep_tuned,f1_region_2,10000,low,0.55,0.6618,0.0,0.0,0.0,0.10101939297288202,0.8868557710667715,0.985686446522744,1.0,0.3269479407003473,0.36789099679045095
DivTree λ=0,divtree_lambda0,fnr_region_2,10000,high,0.45,0.5574,0.0,0.0,0.0,0.8291793313069908,1.0,1.0,1.0,0.5453004907436491,0.4634910338027564
DivTree λ=1,divtree_lambda1_region2,fnr_region_2,10000,high,0.45,0.5605,0.0,0.0,0.0,0.824575783721599,1.0,1.0,1.0,0.5415771756879435,0.4612930440773107
DivTree λ=2,divtree_lambda2_region2,fnr_region_2,10000,high,0.45,0.5637,0.0,0.0,0.0,0.8217327131782945,1.0,1.0,1.0,0.5391640224735563,0.45890076393439333
DivTree λ=4,divtree_lambda4_region2,fnr_region_2,10000,high,0.45,0.5641,0.0,0.0,0.0,0.804991228566578,1.0,1.0,1.0,0.5352082274756477,0.4562896901521439
DivTree λ=6,divtree_lambda6_region2,fnr_region_2,10000,high,0.45,0.5666,0.0,0.0,0.0,0.8032873560276725,1.0,1.0,1.0,0.535418606902529,0.4546301172974232
DivTree λ=8,divtree_lambda8_region2,fnr_region_2,10000,high,0.45,0.5667,0.0,0.0,0.0,0.8023561218563198,1.0,1.0,1.0,0.5347028174291796,0.45433303659619856
TwoStep (recall),twostep_recall,fnr_region_2,10000,high,0.45,0.6073,0.0,0.0,0.0,0.928233741393488,1.0,1.0,1.0,0.5894040155875107,0.4616015527008646
